Player,Age,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Cory Joseph,20,PG,SAS,29,1.0,266,3.0,9.5,0.314,0.4,2.0,0.2,2.6,7.4,0.345,1.5,2.3,0.647,0.7,2.7,3.4,4.6,0.9,0.4,1.6,2.2,7.8,6.9,0.374,0.214,0.243,2.2,8.5,5.4,17.4,1.4,0.8,13.4,15.4,-0.2,0.2,0.0,0.001,-4.4,-0.6,-5.0,-0.2
Enes Kanter,19,C,UTA,66,0.0,874,4.8,9.7,0.496,0.0,0.0,0.0,4.8,9.7,0.498,2.9,4.3,0.667,4.4,7.0,11.5,0.3,0.7,0.9,2.2,3.6,12.5,14.5,0.539,0.004,0.445,13.9,22.7,18.3,1.4,1.1,2.1,16.1,17.3,0.9,0.8,1.7,0.095,-1.2,-1.7,-3.0,-0.2
D.J. Kennedy,22,SF,CLE,2,0.0,59,3.1,7.3,0.41700000000000004,1.2,2.4,0.5,1.8,4.9,0.375,0.0,1.2,0.0,0.6,3.7,4.3,1.8,1.2,0.0,1.8,4.3,7.3,4.7,0.466,0.33299999999999996,0.16699999999999998,1.9,12.0,6.7,8.2,1.8,0.0,18.9,12.1,0.0,0.0,0.0,-0.023,-5.9,-0.7,-6.7,-0.1
Brandon Knight,20,PG,DET,66,60.0,2129,5.4,13.0,0.415,1.8,4.7,0.38,3.6,8.3,0.434,1.8,2.3,0.759,0.6,3.0,3.6,4.2,0.8,0.2,2.9,2.6,14.3,11.7,0.511,0.359,0.17800000000000002,1.8,10.3,5.9,20.8,1.2,0.4,17.1,21.7,0.3,1.0,1.3,0.028999999999999998,-0.9,-1.7,-2.6,-0.3
Malcolm Lee,21,SG,MIN,19,0.0,243,3.4,8.7,0.39,0.3,1.5,0.2,3.1,7.3,0.429,2.1,2.5,0.8240000000000001,1.3,2.5,3.9,4.6,1.2,0.6,2.5,3.3,9.2,9.3,0.466,0.16899999999999998,0.28800000000000003,4.1,7.8,5.9,19.8,1.7,1.2,20.4,15.3,0.0,0.1,0.1,0.024,-3.5,-0.3,-3.8,-0.1
Kawhi Leonard,20,SF,SAS,64,39.0,1534,4.7,9.5,0.493,1.0,2.6,0.376,3.7,6.9,0.536,1.6,2.1,0.773,2.4,5.2,7.7,1.6,2.0,0.6,1.0,2.1,11.9,16.6,0.573,0.27,0.218,7.9,16.4,12.2,6.6,2.9,1.1,9.0,14.5,3.1,2.4,5.5,0.171,1.6,1.8,3.4,2.1
Travis Leslie,21,SG,LAC,10,0.0,45,4.0,11.2,0.35700000000000004,0.0,0.0,,4.0,11.2,0.35700000000000004,3.2,7.2,0.444,4.8,2.4,7.2,4.0,1.6,1.6,1.6,3.2,11.2,14.6,0.39,0.0,0.643,15.7,8.0,11.9,17.0,2.4,3.7,10.0,20.5,0.0,0.0,0.1,0.06,0.0,-0.3,-0.3,0.0
Jon Leuer,22,PF,MIL,46,12.0,555,6.3,12.4,0.508,0.2,0.6,0.33299999999999996,6.1,11.8,0.516,1.4,1.8,0.75,2.9,4.9,7.8,1.6,0.9,1.1,1.2,4.3,14.1,15.3,0.536,0.047,0.147,8.7,15.3,11.9,7.3,1.3,2.3,8.1,17.6,0.9,0.5,1.4,0.122,-0.3,0.0,-0.3,0.2
DeAndre Liggins,23,SF,ORL,17,0.0,115,3.8,7.8,0.48,0.0,1.3,0.0,3.8,6.6,0.5710000000000001,2.8,5.9,0.474,1.9,2.8,4.7,1.6,1.9,0.0,3.1,1.9,10.3,8.9,0.495,0.16,0.76,5.9,9.2,7.5,7.1,2.8,0.0,23.1,17.7,-0.1,0.1,0.0,0.0,-4.2,-0.3,-4.5,-0.1
Shelvin Mack,21,PG,WAS,64,0.0,779,4.1,10.2,0.4,0.6,1.9,0.28600000000000003,3.5,8.2,0.42700000000000005,1.9,2.7,0.7120000000000001,0.6,3.7,4.3,6.1,1.3,0.1,2.2,2.3,10.6,11.9,0.46799999999999997,0.191,0.268,1.7,11.7,6.7,26.0,1.9,0.2,16.3,16.9,0.2,0.5,0.7,0.042,-2.0,-0.7,-2.6,-0.1
Vernon Macklin,25,C,DET,23,0.0,135,5.1,9.3,0.5429999999999999,0.0,0.0,,5.1,9.3,0.5429999999999999,2.1,3.7,0.5710000000000001,3.7,5.3,9.1,1.3,1.1,1.1,0.8,2.4,12.3,18.2,0.5589999999999999,0.0,0.4,12.0,18.3,15.0,6.4,1.6,2.3,6.8,15.1,0.3,0.1,0.5,0.161,1.3,-0.1,1.2,0.1
E'Twaun Moore,22,PG,BOS,38,0.0,331,4.7,12.3,0.381,1.8,4.9,0.37799999999999995,2.8,7.4,0.382,0.8,0.8,1.0,0.4,3.2,3.6,3.7,1.2,0.3,2.3,3.6,12.0,8.8,0.474,0.39799999999999996,0.062,1.5,9.9,5.9,17.0,1.8,0.7,15.3,19.9,-0.3,0.5,0.2,0.031,-3.3,0.9,-2.4,0.0
Darius Morris,21,PG,LAL,19,0.0,169,3.8,8.9,0.429,0.9,1.9,0.444,3.0,7.0,0.424,1.3,1.9,0.667,0.4,3.0,3.4,4.5,0.4,0.0,4.0,3.4,9.8,5.2,0.5,0.214,0.214,1.4,8.8,5.3,19.1,0.6,0.0,29.2,17.6,-0.2,0.1,-0.2,-0.045,-5.8,-2.0,-7.8,-0.2
Marcus Morris,22,PF,HOU,17,0.0,126,4.6,15.4,0.29600000000000004,0.6,4.9,0.11800000000000001,4.0,10.6,0.37799999999999995,1.7,2.3,0.75,1.4,3.1,4.6,0.9,0.6,0.6,1.1,3.4,11.4,3.8,0.348,0.315,0.14800000000000002,4.6,10.2,7.4,3.7,0.8,1.2,6.5,22.2,-0.3,0.1,-0.2,-0.083,-6.6,-2.7,-9.3,-0.2
Markieff Morris,22,PF,PHO,63,7.0,1227,5.1,12.8,0.39899999999999997,1.3,3.6,0.34700000000000003,3.8,9.2,0.42,2.2,3.1,0.7170000000000001,2.0,6.2,8.2,1.9,1.2,1.2,2.1,5.3,13.7,12.1,0.484,0.284,0.243,6.4,19.1,12.8,8.2,1.7,2.5,12.7,20.4,0.1,1.4,1.5,0.059000000000000004,-2.6,0.5,-2.1,0.0
Daniel Orton,21,PF,ORL,16,2.0,187,3.3,5.8,0.5670000000000001,0.0,0.2,0.0,3.3,5.6,0.586,2.1,4.8,0.44,3.7,3.9,7.5,1.0,1.5,1.7,1.3,5.8,8.7,12.7,0.5489999999999999,0.033,0.833,11.6,12.5,12.0,4.3,2.3,3.8,14.6,12.0,0.2,0.3,0.5,0.129,-3.6,0.6,-3.0,0.0
Jeremy Pargo,25,PG,MEM,44,5.0,424,4.2,12.7,0.33299999999999996,0.8,3.2,0.263,3.4,9.5,0.35700000000000004,1.4,2.3,0.593,1.0,2.1,3.1,4.7,1.3,0.0,3.9,3.9,10.7,4.4,0.389,0.253,0.18,3.2,7.0,5.1,20.2,1.9,0.0,22.1,22.2,-1.1,0.4,-0.8,-0.085,-6.1,-1.5,-7.6,-0.6
Chandler Parsons,23,SF,HOU,63,57.0,1804,4.9,11.0,0.452,1.2,3.6,0.337,3.8,7.4,0.507,0.9,1.6,0.551,1.8,4.2,6.0,2.7,1.5,0.6,1.6,2.8,12.0,13.3,0.513,0.324,0.142,5.7,13.6,9.6,11.7,2.1,1.2,12.2,16.7,1.6,1.8,3.4,0.09,0.1,0.7,0.8,1.3
Ryan Reid,25,PF,OKC,5,0.0,17,8.5,10.6,0.8,0.0,0.0,,8.5,10.6,0.8,0.0,0.0,,2.1,2.1,4.2,0.0,0.0,0.0,2.1,2.1,16.9,17.6,0.8,0.0,0.0,7.2,6.3,6.7,0.0,0.0,0.0,16.7,16.0,0.0,0.0,0.1,0.142,1.0,-3.0,-2.0,0.0
Ricky Rubio,21,PG,MIN,41,31.0,1404,3.6,10.0,0.35700000000000004,0.8,2.4,0.34,2.7,7.6,0.363,3.2,4.0,0.8029999999999999,0.5,3.8,4.4,8.6,2.3,0.2,3.4,2.5,11.2,14.6,0.47600000000000003,0.242,0.40399999999999997,1.6,11.9,6.7,37.4,3.3,0.4,22.2,18.7,0.5,1.5,2.0,0.07,-0.4,1.4,1.0,1.1
Walker Russell,29,PG,DET,28,0.0,357,3.3,9.6,0.34700000000000003,0.4,1.3,0.308,2.9,8.3,0.354,1.4,2.2,0.636,0.7,1.9,2.6,5.8,1.8,0.1,3.3,2.9,8.5,7.2,0.401,0.13699999999999998,0.23199999999999998,2.3,6.6,4.4,26.0,2.7,0.2,24.0,17.8,-0.6,0.3,-0.4,-0.049,-4.6,-0.9,-5.5,-0.3
Josh Selby,20,PG,MEM,28,0.0,237,3.8,10.9,0.34700000000000003,0.3,2.3,0.133,3.5,8.7,0.40399999999999997,1.7,2.1,0.7859999999999999,0.3,2.0,2.3,4.6,1.1,0.0,4.4,2.6,9.6,3.3,0.40299999999999997,0.20800000000000002,0.19399999999999998,1.0,6.5,3.7,19.3,1.6,0.0,27.1,20.5,-0.7,0.2,-0.5,-0.105,-6.8,-2.0,-8.8,-0.4
Iman Shumpert,21,PG,NYK,59,35.0,1705,4.5,11.3,0.401,1.0,3.3,0.306,3.5,8.0,0.44,1.8,2.3,0.7979999999999999,0.9,3.0,3.9,3.5,2.1,0.2,2.3,3.7,11.9,10.8,0.484,0.294,0.204,2.8,9.9,6.3,15.6,3.1,0.4,16.0,18.2,-0.1,2.5,2.4,0.068,-3.0,1.6,-1.4,0.2
Xavier Silas,24,SG,PHI,2,0.0,39,3.7,13.8,0.267,0.9,5.5,0.16699999999999998,2.8,8.3,0.33299999999999996,1.8,2.8,0.667,1.8,1.8,3.7,2.8,0.0,0.0,2.8,4.6,10.2,0.1,0.337,0.4,0.2,5.7,5.7,5.7,11.4,0.0,0.0,15.5,23.3,-0.1,0.0,-0.1,-0.131,-10.4,-4.2,-14.7,-0.1
Chris Singleton,22,SF,WAS,66,51.0,1431,2.9,7.8,0.37200000000000005,1.1,3.2,0.34600000000000003,1.8,4.7,0.389,0.8,1.1,0.682,1.1,4.8,5.9,1.2,1.8,0.8,1.0,4.4,7.7,8.3,0.462,0.40700000000000003,0.141,3.4,15.1,9.2,5.0,2.5,1.6,10.3,11.5,0.1,1.5,1.5,0.052000000000000005,-3.5,1.2,-2.2,-0.1
Greg Smith,21,C,HOU,8,0.0,69,3.7,5.7,0.636,0.0,0.0,,3.7,5.7,0.636,0.0,0.0,,2.6,7.8,10.4,0.5,1.0,2.6,0.5,8.9,7.3,12.3,0.636,0.0,0.0,8.3,25.5,16.8,2.2,1.5,5.4,8.3,7.9,0.1,0.1,0.2,0.165,-4.2,3.4,-0.8,0.0
